2015 ACTUAL DATA,,,,,,GENERAL,,,,,,,,SPOILT PAPERS,,POSTAL VOTES,,,,2010 ACTUAL,,,,,,,,,,,,,,,
Press Association ID Number,Constituency Name,Constituency ID,Constituency Type,Region,County,Electorate , Total number of valid votes counted , Total number of ballots at count  ,Total number of ballots returned by close of poll,Valid vote turnout (all valid votes),Ballot box turnout (inc votes rejected at count),Total vote turnout (inc postal votes rejected and votes  rejected at count),,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of postal votes included in the count,,Constituency Name 2010,PAID Number,Region,Electorate,Total number of valid votes counted , Total number of ballots at count  ,Total number of ballots returned by close of poll,Valid vote turnout,Ballot box turnout,Total vote turnout ,,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of postal votes included in the count
,,,,,,,,,,,,,,,,A1,B6,C18,,,,,,,,,,,,,,,,,
71,Blaenau Gwent,W07000072,County,wales,wales,"51,335","31,683","31,757","31,891",61.7,61.9,62.1,,74,,"8,961","7,815","7,681",,Blaenau Gwent,71,wales,"52,442","32,395","32,466","32,838",61.8,61.9,62.6,,71,,"9,411","7,826","7,454"
94,Bridgend,W07000073,County,wales,wales,"59,998","39,453","39,516","39,703",65.8,65.9,66.2,,63,,"11,268","9,600","9,413",,Bridgend,94,wales,"58,700","38,347","38,425","38,555",65.3,65.5,65.7,,78,,"11,860","9,678","9,548"
437,Ogmore,W07000074,County,wales,wales,"55,572","35,250","35,322","35,497",63.4,63.6,63.9,,72,,"9,280","7,768","7,593",,Ogmore,437,wales,"55,527","34,650","34,718","34,847",62.4,62.5,62.8,,68,,"9,793","7,712","7,583"
454,Pontypridd,W07000075,County,wales,wales,"58,940","37,882","37,983","38,199",64.3,64.4,64.8,,101,,"10,725","8,982","8,766",,Pontypridd,454,wales,"58,205","36,671","36,746","37,082",63.0,63.1,63.7,,75,,"10,505","8,455","8,119"
114,Caerphilly,W07000076,County,wales,wales,"63,603","40,283","40,364","40,543",63.3,63.5,63.7,,81,,"10,218","9,058","8,879",,Caerphilly,114,wales,"62,122","38,692","38,787","39,148",62.3,62.4,63.0,,95,,"9,827","7,593","7,232"
336,Islwyn,W07000077,County,wales,wales,"55,697","35,401","35,447","35,602",63.6,63.6,63.9,,46,,"8,385","7,465","7,310",,Islwyn,336,wales,"54,866","34,684","34,754","35,084",63.2,63.3,63.9,,70,,"8,149","6,138","5,808"
589,Vale of Glamorgan,W07000078,County,wales,wales,"72,794","51,293","51,379","51,639",70.5,70.6,70.9,,86,,"12,687","10,932","10,672",,Vale of Glamorgan,589,wales,"70,211","48,667","48,757","49,000",69.3,69.4,69.8,,90,,"10,428","8,456","8,213"
129,Cardiff West,W07000079,Borough,wales,wales,"66,762","43,792","43,905","44,242",65.6,65.8,66.3,,113,,"12,304","10,539","10,202",,Cardiff West,129,wales,"62,787","40,958","41,043","41,310",65.2,65.4,65.8,,85,,"12,938","10,436","10,169"
128,Cardiff South and Penarth,W07000080,Borough,wales,wales,"76,006","46,667","46,788","47,155",61.4,61.6,62.0,,121,,"13,202","10,775","10,408",,Cardiff South & Penarth,128,wales,"73,707","44,369","44,467","44,843",60.2,60.3,60.8,,98,,"13,717","10,806","10,430"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,uk,,"46,354,197","30,697,525","30,800,164","31,014,319",66.2,66.4,66.9,,102639,,7592735,6516228,6302073,,,,,"45,597,461","29,687,604","29,769,483","29,991,471",65.1,65.3,65.8,,81879,,"6,996,006","5,818,853","5,596,865"
,,,,gb,,"45,117,432","29,979,422","30,077,292","30,290,591",66.4,66.7,67.1,,97870,,7575632,6501516,6288217,,,,,"44,428,277","29,013,733","29,091,547","29,312,175",65.3,65.5,66.0,,77814,,"6,980,005","5,806,349","5,585,721"
,,,,e,,"38,736,146","25,570,894","25,661,947","25,846,124",66.0,66.2,66.7,,91053,,6451395,5530130,5345953,,,,,"38,300,110","25,081,268","25,151,859","25,343,962",65.5,65.7,66.2,,70591,,"6,096,006","5,069,269","4,877,166"
,,,,w,,"2,281,754","1,498,063","1,501,147","1,512,090",65.7,65.8,66.3,,3084,,404282,347895,336952,,,,,"2,265,125","1,466,685","1,469,384","1,482,541",64.8,64.9,65.5,,2699,,"372,586","309,594","296,437"
,,,,s,,"4,099,532","2,910,465","2,914,198","2,932,377",71.0,71.1,71.5,,3733,,719955,623491,605312,,,,,"3,863,042","2,465,780","2,470,304","2,485,672",63.8,63.9,64.3,,4524,,"511,413","427,486","412,118"
,,,,ni,,"1,236,765","718,103","722,872","723,728",58.1,58.4,58.5,,4769,,17103,14712,13856,,,,,"1,169,184","673,871","677,936","679,296",57.6,58.0,58.1,,4065,,"16,001","12,504","11,144"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,em,,"3,354,204","2,230,402","2,239,211","2,257,434",66.5,66.8,67.3,,8809,,564521,488998,470775,,,,,"3,332,058","2,224,279","2,228,760","2,248,366",66.8,66.9,67.5,,4481,,"540,279","462,250","442,644"
,,,,ee,,"4,365,302","2,948,623","2,959,383","2,978,088",67.5,67.8,68.2,,10760,,670172,579338,560633,,,,,"4,257,453","2,878,997","2,884,957","2,902,713",67.6,67.8,68.2,,5960,,"615,292","517,119","499,363"
,,,,gl,,"5,407,830","3,536,251","3,547,833","3,568,121",65.4,65.6,66.0,,11582,,799738,661574,641286,,,,,"5,276,910","3,401,268","3,418,765","3,448,641",64.5,64.8,65.4,,17497,,"726,647","572,941","543,065"
,,,,ne,,"1,923,727","1,188,153","1,191,591","1,203,709",61.8,61.9,62.6,,3438,,500983,426433,414315,,,,,"1,948,281","1,189,925","1,192,626","1,207,845",61.1,61.2,62.0,,2701,,"519,977","429,069","413,850"
,,,,nw,,"5,230,395","3,364,055","3,377,165","3,408,476",64.3,64.6,65.2,,13110,,948272,798493,767182,,,,,"5,255,192","3,272,990","3,284,698","3,315,061",62.3,62.5,63.1,,11708,,"929,298","753,360","722,997"
,,,,se,,"6,409,317","4,394,360","4,410,998","4,438,757",68.6,68.8,69.3,,16638,,1024774,889860,862101,,,,,"6,298,261","4,294,227","4,303,775","4,330,272",68.2,68.3,68.8,,9548,,"922,570","787,502","761,005"
,,,,sw,,"4,080,772","2,836,294","2,844,797","2,861,123",69.5,69.7,70.1,,8503,,697516,611136,594810,,,,,"4,020,915","2,773,443","2,778,419","2,792,852",69.0,69.1,69.5,,4976,,"629,733","539,148","524,715"
,,,,wm,,"4,102,205","2,628,579","2,637,781","2,653,253",64.1,64.3,64.7,,9202,,550405,473385,457913,,,,,"4,084,007","2,640,572","2,648,104","2,667,465",64.7,64.8,65.3,,7532,,"524,436","439,340","419,979"
,,,,yh,,"3,862,394","2,444,177","2,453,188","2,477,163",63.3,63.5,64.1,,9011,,695014,600913,576938,,,,,"3,827,033","2,405,567","2,411,755","2,430,747",62.9,63.0,63.5,,6188,,"687,774","568,540","549,548"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
