2015 ACTUAL DATA,,,,,,GENERAL,,,,,,,,SPOILT PAPERS,,POSTAL VOTES,,,,2010 ACTUAL,,,,,,,,,,,,,,,
Press Association ID Number,Constituency Name,Constituency ID,Constituency Type,Region,County,Electorate , Total number of valid votes counted , Total number of ballots at count  ,Total number of ballots returned by close of poll,Valid vote turnout (all valid votes),Ballot box turnout (inc votes rejected at count),Total vote turnout (inc postal votes rejected and votes  rejected at count),,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of postal votes included in the count,,Constituency Name 2010,PAID Number,Region,Electorate,Total number of valid votes counted , Total number of ballots at count  ,Total number of ballots returned by close of poll,Valid vote turnout,Ballot box turnout,Total vote turnout ,,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of postal votes included in the count
,,,,,,,,,,,,,,,,A1,B6,C18,,,,,,,,,,,,,,,,,
155,Clwyd West,W07000059,County,wales,wales,"58,644","38,028","38,104","38,266",64.8,65.0,65.3,,76,,"9,124","7,865","7,703",,Clwyd West,155,wales,"57,913","38,111","38,178","38,369",65.8,65.9,66.3,,67,,"9,808","7,211","7,020"
588,Vale of Clwyd,W07000060,County,wales,wales,"56,505","35,261","35,338","35,535",62.4,62.5,62.9,,77,,"10,774","9,263","9,066",,Vale of Clwyd,588,wales,"55,781","35,534","35,589","35,861",63.7,63.8,64.3,,55,,"10,485","8,858","8,586"
217,Dwyfor Meirionnydd,W07000061,County,wales,wales,"44,394","28,913","28,978","29,075",65.1,65.3,65.5,,65,,"5,845","4,964","4,867",,Dwyfor Meirionnydd,217,wales,"45,354","28,906","28,968","29,115",63.7,63.9,64.2,,62,,"4,829","4,130","3,983"
154,Clwyd South,W07000062,County,wales,wales,"54,996","35,064","35,119","35,244",63.8,63.9,64.1,,55,,"8,477","7,371","7,246",,Clwyd South,154,wales,"53,748","34,681","34,723","34,945",64.5,64.6,65.0,,42,,"7,708","6,602","6,380"
402,Montgomeryshire,W07000063,County,wales,wales,"48,690","33,757","33,811","33,962",69.3,69.4,69.8,,54,,"7,000","6,030","5,879",,Montgomeryshire,402,wales,"48,730","33,813","33,871","34,059",69.4,69.5,69.9,,58,,"5,966","5,015","4,827"
135,Ceredigion,W07000064,County,wales,wales,"54,242","37,416","37,512","37,675",69.0,69.2,69.5,,96,,"8,709","7,536","7,373",,Ceredigion,135,wales,"59,882","38,258","38,321","38,486",63.9,64.0,64.3,,63,,"6,579","5,518","5,353"
459,Preseli Pembrokeshire,W07000065,County,wales,wales,"57,291","40,556","40,620","40,837",70.8,70.9,71.3,,64,,"11,058","9,538","9,321",,Preseli Pembrokeshire,459,wales,"57,400","39,602","39,682","39,941",69.0,69.1,69.6,,80,,"8,901","7,510","7,251"
132,Carmarthen West and South Pembrokeshire,W07000066,County,wales,wales,"57,755","40,350","40,419","40,617",69.9,70.0,70.3,,69,,"11,539","9,846","9,648",,Carmarthen West & Pembrokeshire South,132,wales,"58,108","40,507","40,574","40,867",69.7,69.8,70.3,,67,,"9,170","7,901","7,608"
131,Carmarthen East and Dinefwr,W07000067,County,wales,wales,"55,750","39,399","39,460","39,953",70.7,70.8,71.7,,61,,"12,600","10,871","10,378",,Carmarthen East & Dinefwr,131,wales,"52,385","38,011","38,088","38,380",72.6,72.7,73.3,,77,,"10,229","8,666","8,374"
89,Brecon and Radnorshire,W07000068,County,wales,wales,"54,441","40,074","40,145","40,338",73.6,73.7,74.1,,71,,"8,979","8,070","7,877",,Brecon & Radnorshire,89,wales,"53,589","38,845","38,896","39,115",72.5,72.6,73.0,,51,,"7,367","6,338","6,119"
408,Neath,W07000069,County,wales,wales,"56,097","37,135","37,249","37,596",66.2,66.4,67.0,,114,,"12,886","11,084","10,737",,Neath,408,wales,"57,295","37,122","37,189","37,681",64.8,64.9,65.8,,67,,"12,154","9,987","9,495"
174,Cynon Valley,W07000070,County,wales,wales,"51,422","30,472","30,555","30,774",59.3,59.4,59.8,,83,,"9,951","8,348","8,129",,Cynon Valley,174,wales,"50,650","29,876","29,948","30,293",59.0,59.1,59.8,,72,,"9,976","8,087","7,742"
393,Merthyr Tydfil and Rhymney,W07000071,County,wales,wales,"61,716","32,715","32,810","33,717",53.0,53.2,54.6,,95,,"9,445","6,595","5,688",,Merthyr Tydfil & Rhymney,393,wales,"54,715","32,076","32,156","32,443",58.6,58.8,59.3,,80,,"6,578","5,579","5,292"
